12,517,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isolates,Pop,D13,D13,D13,D13,G11,G11,G11,G11,Pi04,Pi04,Pi04,Pi04,Pi4B,Pi4B,Pi4B,Pi4B,Pi63,Pi63,Pi63,Pi63,Pi70,Pi70,Pi70,Pi70,SSR11,SSR11,SSR11,SSR11,SSR2,SSR2,SSR2,SSR2,SSR3,SSR3,SSR3,SSR3,SSR4,SSR4,SSR4,SSR4,SSR6,SSR6,SSR6,SSR6,SSR8,SSR8,SSR8,SSR8
CHCL31,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHCL34,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHCL37,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHCL38,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHCL39,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHCL7,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHG14,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHG15,Chapingo_2015,172,174,0,0,156,160,0,0,166,170,0,0,209,213,0,0,270,279,0,0,192,192,0,0,341,356,0,0,173,173,0,0,258,262,0,0,291,291,0,0,244,244,0,0,266,266,0,0
CHG19,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHG20,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHG21,Chapingo_2015,108,110,0,0,138,138,0,0,166,170,0,0,213,217,0,0,273,279,0,0,192,192,0,0,341,356,0,0,173,173,0,0,268,268,0,0,289,313,0,0,242,244,0,0,260,266,0,0
CHG22,Chapingo_2015,172,174,0,0,156,160,0,0,166,170,0,0,209,213,0,0,270,279,0,0,192,192,0,0,341,356,0,0,173,173,0,0,258,262,0,0,291,291,0,0,244,244,0,0,266,266,0,0
CHG25,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHG29,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHG30,Chapingo_2015,172,174,0,0,156,160,0,0,166,170,0,0,209,213,0,0,270,279,0,0,192,192,0,0,341,356,0,0,173,173,0,0,258,262,0,0,291,291,0,0,244,244,0,0,266,266,0,0
CHG31,Chapingo_2015,148,148,0,0,138,156,0,0,166,166,0,0,209,217,0,0,273,279,0,0,192,192,0,0,331,331,0,0,173,173,0,0,260,268,0,0,285,297,0,0,244,244,0,0,264,266,0,0
CHG32,Chapingo_2015,140,140,0,0,152,210,0,0,166,166,0,0,209,213,0,0,270,279,0,0,192,192,0,0,341,356,0,0,173,173,0,0,266,268,0,0,285,291,0,0,244,244,0,0,260,266,0,0
CHG35,Chapingo_2015,0,0,0,0,156,156,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,346,356,0,0,173,173,0,0,266,266,0,0,289,291,0,0,244,244,0,0,264,266,0,0
CHG36,Chapingo_2015,110,222,224,0,156,156,0,0,166,170,0,0,213,225,0,0,279,279,0,0,189,192,0,0,356,356,0,0,173,173,0,0,258,266,0,0,285,289,0,0,242,244,0,0,260,260,0,0
JFH120,Juchitepec_2015,136,210,212,0,152,156,0,0,170,170,0,0,209,209,0,0,279,279,0,0,192,192,0,0,341,341,0,0,175,175,0,0,266,266,0,0,295,299,0,0,240,242,0,0,260,266,0,0
JFH121,Juchitepec_2015,210,212,0,0,156,156,0,0,170,170,0,0,213,217,0,0,279,279,0,0,189,192,0,0,341,341,0,0,173,175,0,0,266,266,0,0,297,299,0,0,242,244,0,0,260,264,0,0
JFH125,Juchitepec_2015,118,118,0,0,152,156,0,0,166,170,0,0,217,217,0,0,270,279,0,0,192,192,0,0,346,356,0,0,173,175,0,0,256,258,0,0,291,299,0,0,242,244,0,0,260,266,0,0
JFH134,Juchitepec_2015,140,208,210,212,152,206,0,0,166,170,0,0,213,213,0,0,279,279,0,0,192,192,0,0,341,346,0,0,173,177,0,0,256,268,0,0,293,299,0,0,242,244,0,0,260,266,0,0
JFH135,Juchitepec_2015,136,136,0,0,156,156,0,0,170,170,0,0,213,217,0,0,273,279,0,0,189,192,0,0,356,356,0,0,173,173,0,0,266,266,0,0,295,299,0,0,242,244,0,0,264,264,0,0
JFH143,Juchitepec_2015,136,136,0,0,206,206,0,0,170,170,0,0,213,213,0,0,279,279,0,0,189,192,0,0,341,341,0,0,173,175,0,0,266,268,0,0,291,291,0,0,236,244,0,0,260,266,272,0
JFH146,Juchitepec_2015,174,176,0,0,160,206,0,0,166,170,0,0,209,217,0,0,279,279,0,0,189,192,0,0,341,346,0,0,173,175,0,0,256,266,0,0,293,293,0,0,244,244,0,0,260,266,272,0
JFH153,Juchitepec_2015,174,176,0,0,156,226,0,0,170,170,0,0,209,213,0,0,279,279,0,0,192,192,0,0,356,356,0,0,173,177,0,0,256,266,0,0,285,293,0,0,244,244,0,0,264,264,0,0
JFH160,Juchitepec_2015,174,176,0,0,160,206,0,0,166,170,0,0,209,217,0,0,279,279,0,0,189,192,0,0,341,346,0,0,173,175,0,0,256,266,0,0,293,293,0,0,244,244,0,0,260,266,272,0
JFH163,Juchitepec_2015,0,0,0,0,156,160,0,0,170,170,0,0,209,217,0,0,273,279,0,0,192,192,0,0,341,356,0,0,177,177,0,0,256,266,0,0,289,291,0,0,242,242,0,0,260,264,0,0
JFH168,Juchitepec_2015,0,0,0,0,156,206,0,0,170,170,0,0,213,213,0,0,279,279,0,0,192,192,0,0,341,346,0,0,173,177,0,0,266,266,0,0,291,293,0,0,244,244,0,0,260,260,0,0
JFH18,Juchitepec_2015,0,0,0,0,156,206,0,0,170,170,0,0,213,213,0,0,279,279,0,0,192,192,0,0,341,346,0,0,173,177,0,0,266,266,0,0,291,293,0,0,244,244,0,0,260,260,0,0
JFH21,Juchitepec_2015,0,0,0,0,156,206,0,0,170,170,0,0,213,213,0,0,279,279,0,0,192,192,0,0,341,346,0,0,173,177,0,0,266,266,0,0,291,293,0,0,244,244,0,0,260,260,0,0
JFH22,Juchitepec_2015,0,0,0,0,156,206,0,0,170,170,0,0,213,213,0,0,279,279,0,0,192,192,0,0,341,346,0,0,173,177,0,0,266,266,0,0,291,293,0,0,244,244,0,0,260,260,0,0
JFH3,Juchitepec_2015,0,0,0,0,130,156,0,0,170,170,0,0,213,217,0,0,279,279,0,0,189,192,0,0,341,356,0,0,173,175,0,0,256,268,0,0,291,295,0,0,242,244,0,0,260,266,0,0
JFH41,Juchitepec_2015,0,0,0,0,208,208,0,0,170,170,0,0,209,213,0,0,279,279,0,0,192,192,0,0,356,356,0,0,175,175,0,0,266,268,0,0,289,289,0,0,242,244,0,0,266,272,0,0
JFH43,Juchitepec_2015,0,0,0,0,210,210,0,0,166,170,0,0,209,213,0,0,270,279,0,0,189,192,0,0,341,341,0,0,173,177,0,0,256,256,0,0,299,299,0,0,244,244,0,0,260,264,0,0
JFH162,Juchitepec_2015,136,210,212,0,210,210,0,0,170,170,0,0,217,217,0,0,279,279,0,0,189,192,0,0,341,356,0,0,175,177,0,0,256,266,0,0,291,291,0,0,242,244,0,0,260,264,272,0
JFH75,Juchitepec_2015,0,0,0,0,156,156,0,0,170,170,0,0,213,213,0,0,279,279,0,0,189,192,0,0,341,356,0,0,173,175,0,0,266,266,0,0,291,291,0,0,244,244,0,0,260,266,272,0
JFH45,Juchitepec_2015,174,176,0,0,160,206,0,0,166,170,0,0,209,217,0,0,279,279,0,0,189,192,0,0,341,346,0,0,173,175,0,0,256,266,0,0,293,293,0,0,244,244,0,0,260,266,272,0
JFH46,Juchitepec_2015,0,0,0,0,210,210,0,0,166,170,0,0,209,213,0,0,270,279,0,0,189,192,0,0,341,341,0,0,173,177,0,0,256,256,0,0,299,299,0,0,244,244,0,0,260,264,0,0
JFH54,Juchitepec_2015,0,0,0,0,156,156,0,0,170,170,0,0,209,213,0,0,273,279,0,0,192,192,0,0,341,356,0,0,173,175,0,0,256,266,0,0,289,295,0,0,242,244,0,0,260,260,0,0
JFH56,Juchitepec_2015,174,176,0,0,160,206,0,0,166,170,0,0,209,217,0,0,279,279,0,0,189,192,0,0,341,346,0,0,173,175,0,0,256,266,0,0,293,293,0,0,244,244,0,0,260,266,272,0
JFH58,Juchitepec_2015,174,176,0,0,160,206,0,0,166,170,0,0,209,217,0,0,279,279,0,0,189,192,0,0,341,346,0,0,173,175,0,0,256,266,0,0,293,293,0,0,244,244,0,0,260,266,272,0
JFH63,Juchitepec_2015,114,136,0,0,206,226,0,0,166,170,0,0,209,217,0,0,279,279,0,0,189,189,0,0,356,356,0,0,173,173,0,0,268,268,0,0,291,301,0,0,242,244,0,0,260,266,0,0
JFH64,Juchitepec_2015,0,0,0,0,156,156,0,0,170,170,0,0,209,213,0,0,273,279,0,0,192,192,0,0,341,356,0,0,173,175,0,0,256,266,0,0,289,295,0,0,242,244,0,0,260,260,0,0
JFH73,Juchitepec_2015,0,0,0,0,156,206,0,0,170,170,0,0,213,213,0,0,279,279,0,0,192,192,0,0,341,346,0,0,173,177,0,0,266,266,0,0,291,293,0,0,244,244,0,0,260,260,0,0
JFH85,Juchitepec_2015,0,0,0,0,210,210,0,0,166,170,0,0,209,213,0,0,270,279,0,0,189,192,0,0,341,341,0,0,173,177,0,0,256,256,0,0,299,299,0,0,244,244,0,0,260,264,0,0
JFH86,Juchitepec_2015,160,162,174,176,152,206,0,0,166,170,0,0,217,217,0,0,279,279,0,0,192,192,0,0,341,356,0,0,173,173,0,0,262,266,0,0,303,303,0,0,244,244,0,0,266,272,0,0
JFH89,Juchitepec_2015,210,212,0,0,142,142,0,0,170,170,0,0,213,217,0,0,273,279,0,0,189,192,0,0,356,356,0,0,173,177,0,0,266,268,0,0,291,299,0,0,242,244,0,0,260,264,0,0
JFH90,Juchitepec_2015,0,0,0,0,156,156,0,0,170,170,0,0,209,213,0,0,279,279,0,0,189,189,0,0,331,346,0,0,173,173,0,0,256,266,0,0,293,293,0,0,242,242,0,0,264,266,272,0
JFH95,Juchitepec_2015,0,0,0,0,156,156,0,0,170,170,0,0,209,213,0,0,273,279,0,0,192,192,0,0,341,356,0,0,173,175,0,0,256,266,0,0,289,295,0,0,242,244,0,0,260,260,0,0
JFH96,Juchitepec_2015,160,162,174,176,152,206,0,0,166,170,0,0,217,217,0,0,279,279,0,0,192,192,0,0,341,356,0,0,173,173,0,0,262,266,0,0,303,303,0,0,244,244,0,0,266,272,0,0
SGF12,San Gerónimo_2015,174,176,210,212,206,206,0,0,166,166,0,0,209,213,0,0,279,279,0,0,192,192,0,0,341,356,0,0,173,173,0,0,268,268,0,0,291,293,0,0,242,244,0,0,266,266,0,0
SGF37,San Gerónimo_2015,210,212,0,0,160,160,0,0,166,170,0,0,213,213,0,0,273,279,0,0,192,192,0,0,356,356,0,0,173,175,0,0,266,266,0,0,289,289,0,0,244,244,0,0,264,266,0,0
SGF_X,San Gerónimo_2015,190,190,0,0,160,206,0,0,170,170,0,0,213,213,0,0,270,273,0,0,192,192,0,0,346,356,0,0,173,175,0,0,256,258,0,0,285,291,0,0,240,244,0,0,260,266,0,0
SGF_Y,San Gerónimo_2015,140,140,0,0,206,206,0,0,170,170,0,0,209,217,0,0,270,273,0,0,189,189,0,0,341,341,0,0,173,175,0,0,266,268,0,0,291,293,0,0,244,244,0,0,266,266,0,0
SGF_Z,San Gerónimo_2015,140,140,0,0,142,142,0,0,166,170,0,0,209,213,0,0,270,270,0,0,189,192,0,0,341,356,0,0,173,175,0,0,262,266,268,0,289,293,0,0,244,250,0,0,260,266,272,0
SGF1,San Gerónimo_2015,0,0,0,0,206,206,0,0,166,170,0,0,213,213,0,0,270,279,0,0,192,192,0,0,341,341,0,0,173,175,0,0,260,268,0,0,293,293,0,0,244,244,0,0,260,264,0,0
SGF11,San Gerónimo_2015,136,140,0,0,152,156,164,206,166,170,0,0,209,213,0,0,279,279,0,0,192,192,0,0,341,356,0,0,173,175,0,0,258,266,0,0,289,291,0,0,244,244,0,0,260,266,0,0
SGF18,San Gerónimo_2015,0,0,0,0,172,206,0,0,166,170,0,0,213,213,0,0,270,279,0,0,192,192,0,0,341,341,0,0,173,175,0,0,260,268,0,0,293,293,0,0,244,244,0,0,260,264,0,0
SGF19,San Gerónimo_2015,0,0,0,0,206,206,0,0,166,170,0,0,213,213,0,0,270,279,0,0,192,192,0,0,341,341,0,0,173,175,0,0,260,268,0,0,293,293,0,0,244,244,0,0,260,264,0,0
SGF21,San Gerónimo_2015,174,176,0,0,200,200,0,0,166,170,0,0,213,213,0,0,270,279,0,0,189,189,0,0,356,356,0,0,173,175,0,0,258,266,0,0,289,291,0,0,244,244,0,0,260,264,0,0
